Benchmark                                         (kind)  (offset)  (size)  Mode  Cnt        Score        Error  Units
c.m.a.b.set.SetSetBench.filter                   hashset       1.0      10  avgt    6       30.787 ±      1.015  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       1.0     100  avgt    6      343.287 ±      5.902  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       1.0    1000  avgt    6     2893.411 ±    464.672  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       1.0   10000  avgt    6    61209.067 ±   3941.839  ns/op
c.m.a.b.set.SetSetBench.filter                   hashset       1.0  100000  avgt    6   830860.967 ±  64821.022  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0       1  avgt    6        4.264 ±      0.587  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0      10  avgt    6       29.673 ±      2.515  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0     100  avgt    6      323.330 ±     28.224  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0    1000  avgt    6     2730.349 ±    307.517  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0   10000  avgt    6    38039.389 ±   3878.804  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.0  100000  avgt    6   480017.665 ± 115202.027  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5       1  avgt    6        3.965 ±      0.353  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5      10  avgt    6       28.763 ±      1.937  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5     100  avgt    6      326.721 ±     13.326  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5    1000  avgt    6     2670.175 ±    206.826  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5   10000  avgt    6    38816.034 ±   2793.774  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       0.5  100000  avgt    6   447428.720 ±  65165.434  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0       1  avgt    6        4.152 ±      0.310  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0      10  avgt    6       29.061 ±      1.729  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0     100  avgt    6      318.209 ±     21.893  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0    1000  avgt    6     2613.653 ±    153.685  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0   10000  avgt    6    38236.310 ±   3409.193  ns/op
c.m.a.b.set.SetSetBench.filter                 sortedset       1.0  100000  avgt    6   461107.705 ± 113001.647  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0       1  avgt    6       13.033 ±      0.557  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0      10  avgt    6       88.881 ±      3.744  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0     100  avgt    6     1245.141 ±    117.293  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0    1000  avgt    6    13686.486 ±    638.917  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0   10000  avgt    6   180106.664 ±  30186.720  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.0  100000  avgt    6  2086539.363 ± 174691.362  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5       1  avgt    6       12.603 ±      2.289  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5      10  avgt    6       90.863 ±      3.886  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5     100  avgt    6      788.627 ±    148.415  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5    1000  avgt    6     9312.729 ±    534.458  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5   10000  avgt    6   165262.703 ±  18645.785  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       0.5  100000  avgt    6  1838479.292 ± 272024.424  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0       1  avgt    6       14.750 ±      1.946  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0      10  avgt    6       59.585 ±      4.680  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0     100  avgt    6      401.215 ±      7.204  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0    1000  avgt    6     4739.559 ±     98.634  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0   10000  avgt    6    82874.720 ±   3783.165  ns/op
c.m.a.b.set.SetSetBench.intersect               arrayset       1.0  100000  avgt    6   901658.073 ±  66310.444  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0       1  avgt    6       33.186 ±      0.910  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0      10  avgt    6      158.696 ±     16.646  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0     100  avgt    6     1384.933 ±     22.564  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0    1000  avgt    6    15179.593 ±    378.897  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0   10000  avgt    6   167330.528 ±   5660.547  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.0  100000  avgt    6  2054412.357 ±  22453.740  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5       1  avgt    6       32.958 ±      0.416  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5      10  avgt    6      164.664 ±     15.364  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5     100  avgt    6     1498.160 ±     55.609  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5    1000  avgt    6    17385.193 ±    370.871  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5   10000  avgt    6   197659.044 ±   3122.423  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       0.5  100000  avgt    6  2536835.178 ±  18677.423  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       1.0       1  avgt    6       35.810 ±      0.770  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       1.0      10  avgt    6      179.144 ±      6.061  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       1.0     100  avgt    6     1601.477 ±     55.342  ns/op
c.m.a.b.set.SetSetBench.intersect                hashset       1.0    1000  avgt    6    17631.692 ±   1417.501  ns/op
